category,rating,label,text_,text_raw,review_id,user_id,date_raw,timestamp,product_id,platform,source,rating_source
amazon_B08N5WRWNW,3.0,,word even,{'word': 'even',{'word': 'in','weight': 0.34501619464272254},'weight': 0.3246157983803884},,B08N5WRWNW,amazon,local_cache,default
amazon_B08N5WRWNW,3.0,,word not,{'word': 'not',3,"'weight': -0.17114679395484372}]""",default,,B08N5WRWNW,amazon,local_cache,default
amazon_B08N5WRWNW,3.0,,word ve,{'word': 've',{'word': 'any','weight': -0.3632720410287001},'weight': 0.35975222814840485},,B08N5WRWNW,amazon,local_cache,default
amazon_B08N5WRWNW,3.0,,word can,{'word': 'can',{'word': 'period','weight': 0.3561369196417623},'weight': 0.3432039247687421},,B08N5WRWNW,amazon,local_cache,default
amazon_B08N5WRWNW,3.0,,word price,{'word': 'price',{'word': 'reasonable','weight': 0.40666714698174766},'weight': 0.3650338852107803},,B08N5WRWNW,amazon,local_cache,default
amazon_B08N5WRWNW,3.0,,word very good,{'word': 'very good',{'word': 'quality is','weight': -0.782610150312686},'weight': -0.39981143170597866},,B08N5WRWNW,amazon,local_cache,default
amazon_B08N5WRWNW,3.0,,word value,{'word': 'value',{'word': 'value for','weight': -0.5474508565190636},'weight': -0.18680368474553655},,B08N5WRWNW,amazon,local_cache,default
amazon_B08N5WRWNW,3.0,,word good,{'word': 'good',{'word': 'sound','weight': 0.28645192833432376},"'weight': -0.0215191364761205}]""",,B08N5WRWNW,amazon,local_cache,default
amazon_B08N5WRWNW,3.0,,i switched from windows to macos in recent times and here is my review not an easy task to get adjusted takes time but worth it battery is amazing i do coding everyday and performance is way better than windows on screen time is 2 3 days for me with battery camera could have been better with 1080p but you can t expect more with this price touch pad works well doesn t affect your woek style without google search it is highly impossible at the beginning to work with mac but once you re familiar it s worth itsummary great buy amazon did fulfill the needs got it for reduced amount with all the offer if you re looking for a coding laptop this is the one,"I switched from Windows to macos in recent times and here is my review:-not an easy task to get adjusted, takes time but worth it-battery is amazing-I do coding everyday and performance is way better than Windows, on screen time is 2 3 days for me with battery-camera could have been better with 1080p but you can't expect more with this price-touch pad works well, doesn't affect your woek style-without Google search it is highly impossible at the beginning to work with mac but once you're familiar it's worth itSummary : great buy, amazon did fulfill the needs got it for reduced amount with all the offer, if you're looking for a coding laptop this is the one",B08N5WRWNW_1,unknown,27 January 2022,2022-01-27T00:00:00,B08N5WRWNW,amazon,serpapi_amazon_product,parsed
amazon_B08N5WRWNW,3.0,,5 stars i ve been an apple customer for decades this macbook is awesome perfect monitor size and light enough to travel with,5 stars. I've been an apple customer for decades. This macbook is awesome – perfect monitor size and light enough to travel with.,B08N5WRWNW_2,unknown,5 April 2025,2025-04-05T00:00:00,B08N5WRWNW,amazon,serpapi_amazon_product,parsed
